DoriC AC	RefSeq	Organsim	Taxonomy	Genome Length	oriC location	dnaA box number	dnaA location	The extremes of GC disparity
ORI94010852	NC_015520.1	Mahella australiensis 50-1 BON chromosome	Bacteria, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacterales Family IV. Incertae Sedis, Mahella.	3135972 nt	1446..1684 nt	4	63..1445 nt	3135801 nt (minimum), 1470787 nt (maximum)
ORI94010853	NC_015520.1	Mahella australiensis 50-1 BON chromosome	Bacteria, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacterales Family IV. Incertae Sedis, Mahella.	3135972 nt	3135654..62 nt	3	63..1445 nt	3135801 nt (minimum), 1470787 nt (maximum)
ORI94010854	NC_015554.1	Alteromonas sp. SN2 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Alteromonadaceae, Alteromonas.	4972148 nt	4972076..689 nt	4	690..2363 nt	4971109 nt (minimum), 1869333 nt (maximum)
ORI94010855	NC_015555.1	Thermoanaerobacterium xylanolyticum LX-11 chromosome	Bacteria, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacterales Family III. Incertae Sedis, Thermoanaerobacterium.	2534358 nt	2534041..174 nt	5	175..1506 nt	144 nt (minimum), 1312448 nt (maximum)
ORI94010856	NC_015556.1	Pseudomonas fulva 12-X chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas.	4920769 nt	4920282..28 nt	5	29..1537 nt	6560 nt (minimum), 2598305 nt (maximum)
ORI94010857	NC_015558.1	Streptococcus parauberis KCTC 11537 chromosome	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2143887 nt	2143602..2143887 nt	7	1..1362 nt	2135075 nt (minimum), 782053 nt (maximum)
ORI94010858	NC_015559.1	Marinomonas posidonica IVIA-Po-181 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Marinomonas.	3899940 nt	3899599..170 nt	8	171..1715 nt	3892229 nt (minimum), 1875607 nt (maximum)
ORI94010859	NC_015565.1	Desulfotomaculum carboxydivorans CO-1-SRB chromosome	Bacteria, Firmicutes, Clostridia, Clostridiales, Peptococcaceae, Desulfotomaculum.	2892255 nt	2891685..44 nt	4	45..1373 nt	2892022 nt (minimum), 1506204 nt (maximum)
ORI94010860	NC_015572.1	Methylomonas methanica MC09 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methylomonas.	5051681 nt	1383..1570 nt	3	66..1382 nt	5975 nt (minimum), 2543275 nt (maximum)
ORI94010861	NC_015573.1	Desulfotomaculum kuznetsovii DSM 6115 chromosome	Bacteria, Firmicutes, Clostridia, Clostridiales, Peptococcaceae, Desulfotomaculum.	3601386 nt	3601080..42 nt	3	43..1383 nt	3601298 nt (minimum), 1428905 nt (maximum)
ORI94010862	NC_015576.1	Mycobacterium sp. JDM601 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Mycobacteriaceae, Mycobacterium.	4643668 nt	4643059..4643668 nt	4	1..1476 nt	4643358 nt (minimum), 2238254 nt (maximum)
ORI94010863	NC_015581.1	Thioalkalimicrobium cyclicum ALM1 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Piscirickettsiaceae, Thioalkalimicrobium.	1932455 nt	1932282..85 nt	3	86..1447 nt	1896440 nt (minimum), 943082 nt (maximum)
ORI94010864	NC_015589.1	Desulfotomaculum ruminis DSM 2154 chromosome	Bacteria, Firmicutes, Clostridia, Clostridiales, Peptococcaceae, Desulfotomaculum.	3969014 nt	1435..1665 nt	3	106..1434 nt	854 nt (minimum), 2054589 nt (maximum)
ORI94010865	NC_015589.1	Desulfotomaculum ruminis DSM 2154 chromosome	Bacteria, Firmicutes, Clostridia, Clostridiales, Peptococcaceae, Desulfotomaculum.	3969014 nt	3968716..105 nt	4	106..1434 nt	854 nt (minimum), 2054589 nt (maximum)
ORI94010866	NC_015600.1	Streptococcus pasteurianus ATCC 43144	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2100077 nt	1559..1715 nt	3	203..1558, 1196324..1197142 nt	2099809 nt (minimum), 977786 nt (maximum)
ORI94010867	NC_015600.1	Streptococcus pasteurianus ATCC 43144	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2100077 nt	2100077..202 nt	5	203..1558, 1196324..1197142 nt	2099809 nt (minimum), 977786 nt (maximum)
ORI94010868	NC_015601.1	Erysipelothrix rhusiopathiae str. Fujisawa	Bacteria, Firmicutes, Erysipelotrichi, Erysipelotrichales, Erysipelotrichaceae, Erysipelothrix.	1787941 nt	1354..1616 nt	3	1..1353, 723883..724425 nt	1787487 nt (minimum), 925856 nt (maximum)
ORI94010869	NC_015601.1	Erysipelothrix rhusiopathiae str. Fujisawa	Bacteria, Firmicutes, Erysipelotrichi, Erysipelotrichales, Erysipelotrichaceae, Erysipelothrix.	1787941 nt	1787142..1787941 nt	7	1..1353, 723883..724425 nt	1787487 nt (minimum), 925856 nt (maximum)
ORI94010870	NC_015602.1	Lactobacillus kefiranofaciens ZW3 chromosome	Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus.	2113023 nt	1631821..1632296 nt	6	556611..557252, 1630453..1631820 nt	1629506 nt (minimum), 586711 nt (maximum)
ORI94010871	NC_015634.1	Bacillus coagulans 2-6 chromosome	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus.	3073079 nt	1752..1950 nt	3	252..1751 nt	3073052 nt (minimum), 1484402 nt (maximum)
ORI94010872	NC_015634.1	Bacillus coagulans 2-6 chromosome	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus.	3073079 nt	3072801..251 nt	9	252..1751 nt	3073052 nt (minimum), 1484402 nt (maximum)
ORI94010873	NC_015635.1	Microlunatus phosphovorus NM-1	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Propionibacterineae, Propionibacteriaceae, Microlunatus.	5683123 nt	1720..2464 nt	4	1..1719, 811684..813120 nt	13143 nt (minimum), 2681071 nt (maximum)
ORI94010874	NC_015660.1	Geobacillus thermoglucosidasius C56-YS93 chromosome	Bacteria, Firmicutes, Bacillales, Bacillaceae, Geobacillus.	3893306 nt	3893288..451 nt	11	452..1804 nt	2758 nt (minimum), 1944094 nt (maximum)
ORI94010875	NC_015673.1	Corynebacterium resistens DSM 45100 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium.	2601311 nt	1756..2261 nt	9	1..1755 nt	2601301 nt (minimum), 1295748 nt (maximum)
ORI94010876	NC_015673.1	Corynebacterium resistens DSM 45100 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium.	2601311 nt	2600482..2601311 nt	5	1..1755 nt	2601301 nt (minimum), 1295748 nt (maximum)
ORI94010877	NC_015674.1	Helicobacter bizzozeronii CIII-1	Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter.	1755458 nt	608360..608700 nt	3	608701..609993 nt	156609 nt (minimum), 787677 nt (maximum)
ORI94010878	NC_015675.1	Mesorhizobium opportunistum WSM2075 chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Phyllobacteriaceae, Mesorhizobium.	6884444 nt	6884263..674 nt	3	675..2219 nt	37741 nt (minimum), 4739394 nt (maximum)
ORI94010879	NC_015678.1	Streptococcus parasanguinis ATCC 15912 chromosome	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2153652 nt	1587361..1587626 nt	4	1587627..1588985 nt	1587499 nt (minimum), 517236 nt (maximum)
ORI94010880	NC_015678.1	Streptococcus parasanguinis ATCC 15912 chromosome	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2153652 nt	1588986..1589143 nt	3	1587627..1588985 nt	1587499 nt (minimum), 517236 nt (maximum)
ORI94010881	NC_015683.1	Corynebacterium ulcerans BR-AD22 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium.	2606374 nt	1826..2419 nt	5	227..1825 nt	2606116 nt (minimum), 1235962 nt (maximum)
ORI94010882	NC_015683.1	Corynebacterium ulcerans BR-AD22 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium.	2606374 nt	2605401..226 nt	6	227..1825 nt	2606116 nt (minimum), 1235962 nt (maximum)
ORI94010883	NC_015687.1	Clostridium acetobutylicum DSM 1731 chromosome	Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium.	3942462 nt	1808..2063 nt	5	467..1807, 2021089..2022177 nt	128 nt (minimum), 1984142 nt (maximum)
ORI94010884	NC_015687.1	Clostridium acetobutylicum DSM 1731 chromosome	Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium.	3942462 nt	3942364..466 nt	8	467..1807, 2021089..2022177 nt	128 nt (minimum), 1984142 nt (maximum)
ORI94010885	NC_015690.1	Paenibacillus mucilaginosus KNP414 chromosome	Bacteria, Firmicutes, Bacillales, Paenibacillaceae, Paenibacillus.	8663821 nt	1363..1593 nt	3	1..1362, 4152735..4153418 nt	8663485 nt (minimum), 4024823 nt (maximum)
ORI94010886	NC_015696.1	Francisella sp. TX077308 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Francisellaceae, Francisella.	2035931 nt	2035595..146 nt	5	147..1622 nt	62771 nt (minimum), 1352926 nt (maximum)
ORI94010887	NC_015697.1	Lactobacillus reuteri SD2112 chromosome	Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus.	2264399 nt	1126399..1126893 nt	10	1126894..1128216 nt	1128877 nt (minimum), 2259370 nt (maximum)
ORI94010888	NC_015697.1	Lactobacillus reuteri SD2112 chromosome	Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus.	2264399 nt	1128217..1128391 nt	6	1126894..1128216 nt	1128877 nt (minimum), 2259370 nt (maximum)
ORI94010889	NC_015714.1	Treponema paraluiscuniculi Cuniculi A chromosome	Bacteria, Spirochaetes, Spirochaetales, Spirochaetaceae, Treponema.	1133390 nt	1399..1641 nt	3	4..1398 nt	2106 nt (minimum), 555320 nt (maximum)
ORI94010890	NC_015722.1	Candidatus Midichloria mitochondrii IricVA chromosome	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Candidatus Midichloria.	1183732 nt	1183035..1183732 nt	3	1..1431, 844951..845613 nt	24 nt (minimum), 543595 nt (maximum)
ORI94010891	NC_015726.1	Cupriavidus necator N-1 chromosome chromosome 1	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Cupriavidus.	3872936 nt	3872474..100 nt	4	101..1843 nt	11685 nt (minimum), 1917798 nt (maximum)
ORI94010892	NC_015732.1	Spirochaeta caldaria DSM 7334 chromosome	Bacteria, Spirochaetes, Spirochaetales, Spirochaetaceae, Spirochaeta.	3239340 nt	1452..1649 nt	3	36..1451 nt	1413 nt (minimum), 1569818 nt (maximum)
ORI94010893	NC_015733.1	Pseudomonas putida S16 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas.	5984790 nt	8884..9483 nt	8	9484..11016 nt	5972589 nt (minimum), 2976575 nt (maximum)
ORI94010894	NC_015734.1	Leuconostoc sp. C2 chromosome	Bacteria, Firmicutes, Lactobacillales, Leuconostoc.	1877273 nt	1855962..1856452 nt	7	1854615..1855961 nt	1853922 nt (minimum), 459985 nt (maximum)
ORI94010895	NC_015737.1	Clostridium sp. SY8519	Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium.	2835737 nt	1035467..1035803 nt	3	1035804..1037150 nt	1015323 nt (minimum), 2477141 nt (maximum)
ORI94010896	NC_015740.1	Pseudomonas stutzeri ATCC 17588 = LMG 11199 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas.	4547930 nt	4547888..463 nt	4	464..1924 nt	4522579 nt (minimum), 2128551 nt (maximum)
ORI94010897	NC_015759.1	Weissella koreensis KACC 15510 chromosome	Bacteria, Firmicutes, Lactobacillales, Weissella.	1422478 nt	780967..781599 nt	6	781600..782994 nt	783962 nt (minimum), 422 nt (maximum)
ORI94010898	NC_015760.1	Streptococcus salivarius CCHSS3	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2217184 nt	1470..1623 nt	4	105..1469, 2141350..2142327 nt	2214927 nt (minimum), 1126707 nt (maximum)
ORI94010899	NC_015760.1	Streptococcus salivarius CCHSS3	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2217184 nt	2217051..104 nt	5	105..1469, 2141350..2142327 nt	2214927 nt (minimum), 1126707 nt (maximum)
ORI94010900	NC_015875.1	Streptococcus pseudopneumoniae IS7493 chromosome	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2190731 nt	1363..1520 nt	3	1..1362 nt	2188708 nt (minimum), 1074999 nt (maximum)
ORI94010901	NC_015875.1	Streptococcus pseudopneumoniae IS7493 chromosome	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2190731 nt	2190520..2190731 nt	5	1..1362 nt	2188708 nt (minimum), 1074999 nt (maximum)
ORI94010902	NS_000195.1	Candidatus Cloacamonas acidaminovorans	Bacteria, candidate division WWE1, Candidatus Cloacamonas.	2246820 nt	1333..1752 nt	6	1..1332 nt	2228310 nt (minimum), 1097457 nt (maximum)
ORI94010903	NS_000195.1	Candidatus Cloacamonas acidaminovorans	Bacteria, candidate division WWE1, Candidatus Cloacamonas.	2246820 nt	2245811..2246820 nt	3	1..1332 nt	2228310 nt (minimum), 1097457 nt (maximum)
ORI95010904	NC_015859.1	Corynebacterium variabile DSM 44702 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium.	3433007 nt	1696..2481 nt	9	1..1695 nt	45162 nt (minimum), 1803281 nt (maximum)
ORI95010905	NC_015859.1	Corynebacterium variabile DSM 44702 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium.	3433007 nt	3432222..3433007 nt	6	1..1695 nt	45162 nt (minimum), 1803281 nt (maximum)
ORI95010906	NC_015873.1	Megasphaera elsdenii DSM 20460	Bacteria, Firmicutes, Negativicutes, Selenomonadales, Veillonellaceae, Megasphaera.	2474718 nt	583809..584033 nt	6	584034..585560 nt	602373 nt (minimum), 1840104 nt (maximum)
ORI95010907	NC_015873.1	Megasphaera elsdenii DSM 20460	Bacteria, Firmicutes, Negativicutes, Selenomonadales, Veillonellaceae, Megasphaera.	2474718 nt	585561..586155 nt	6	584034..585560 nt	602373 nt (minimum), 1840104 nt (maximum)
ORI95010908	NC_015930.1	Lactococcus garvieae ATCC 49156	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Lactococcus.	1950135 nt	1360..1522 nt	3	1..1359 nt	1949038 nt (minimum), 996280 nt (maximum)
ORI95010909	NC_015942.1	Acidithiobacillus ferrivorans SS3 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Acidithiobacillales, Acidithiobacillaceae, Acidithiobacillus.	3207552 nt	1597..1879 nt	3	241..1596 nt	3207527 nt (minimum), 1667103 nt (maximum)
ORI95010910	NC_015942.1	Acidithiobacillus ferrivorans SS3 chromosome	Bacteria, Proteobacteria, Gammaproteobacteria, Acidithiobacillales, Acidithiobacillaceae, Acidithiobacillus.	3207552 nt	3206666..240 nt	3	241..1596 nt	3207527 nt (minimum), 1667103 nt (maximum)
ORI95010911	NC_015949.1	Caldicellulosiruptor lactoaceticus 6A chromosome	Bacteria, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacterales Family III. Incertae Sedis, Caldicellulosiruptor.	2674809 nt	1420..1638 nt	3	55..1419 nt	2672121 nt (minimum), 820304 nt (maximum)
ORI95010912	NC_015949.1	Caldicellulosiruptor lactoaceticus 6A chromosome	Bacteria, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacterales Family III. Incertae Sedis, Caldicellulosiruptor.	2674809 nt	2674176..54 nt	10	55..1419 nt	2672121 nt (minimum), 820304 nt (maximum)
ORI95010913	NC_015953.1	Streptomyces sp. SirexAA-E chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Streptomycineae, Streptomycetaceae, Streptomyces.	7414440 nt	3690384..3691244 nt	3	3691245..3692978, 4078789..4080198 nt	181 nt (minimum), 4224170 nt (maximum)
ORI95010914	NC_015957.1	Streptomyces violaceusniger Tu 4113 chromosome	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Streptomycineae, Streptomycetaceae, Streptomyces.	10657107 nt	2011..2839 nt	3	193..2010, 1072172..1073587, 1886573..1887973 nt	10655157 nt (minimum), 2250159 nt (maximum)
ORI95010915	NC_015958.1	Thermoanaerobacter wiegelii Rt8.B1 chromosome	Bacteria, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacteraceae, Thermoanaerobacter.	2785056 nt	2784490..113 nt	9	114..1445 nt	2784892 nt (minimum), 1330854 nt (maximum)
ORI95010916	NC_015966.1	Rhodothermus marinus SG0.5JP17-172 chromosome	Bacteria, Bacteroidetes, Bacteroidetes Order II. Incertae sedis, Rhodothermaceae, Rhodothermus.	3225536 nt	3225240..216 nt	6	217..1728 nt	3225518 nt (minimum), 1594158 nt (maximum)
ORI95010917	NC_015975.1	Lactobacillus ruminis ATCC 27782 chromosome	Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus.	2066652 nt	1783..1957 nt	3	397..1782 nt	2066644 nt (minimum), 995307 nt (maximum)
ORI95010918	NC_015975.1	Lactobacillus ruminis ATCC 27782 chromosome	Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus.	2066652 nt	2066277..396 nt	11	397..1782 nt	2066644 nt (minimum), 995307 nt (maximum)
ORI95010919	NC_015977.1	Roseburia hominis A2-183 chromosome	Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Roseburia.	3592125 nt	3591584..3592125 nt	4	1..1356 nt	3592047 nt (minimum), 1657935 nt (maximum)
ORI95010920	NC_015978.1	Lactobacillus sanfranciscensis TMW 1.1304 chromosome	Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus.	1298316 nt	1730..1941 nt	3	335..1729 nt	2474 nt (minimum), 665429 nt (maximum)
ORI95010921	NC_015978.1	Lactobacillus sanfranciscensis TMW 1.1304 chromosome	Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus.	1298316 nt	1298175..334 nt	8	335..1729 nt	2474 nt (minimum), 665429 nt (maximum)
ORI95010922	NC_016011.1	Listeria ivanovii subsp. ivanovii PAM 55	Bacteria, Firmicutes, Bacillales, Listeriaceae, Listeria.	2928879 nt	1674..1867 nt	5	318..1673, 1979988..1980707 nt	2928771 nt (minimum), 1421547 nt (maximum)
ORI95010923	NC_016011.1	Listeria ivanovii subsp. ivanovii PAM 55	Bacteria, Firmicutes, Bacillales, Listeriaceae, Listeria.	2928879 nt	2928693..317 nt	12	318..1673, 1979988..1980707 nt	2928771 nt (minimum), 1421547 nt (maximum)
ORI95010924	NC_016023.1	Bacillus coagulans 36D1 chromosome	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus.	3552226 nt	1389759..1389957 nt	3	1389958..1391307 nt	1391664 nt (minimum), 3298700 nt (maximum)
ORI95010925	NC_016023.1	Bacillus coagulans 36D1 chromosome	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus.	3552226 nt	1391308..1392219 nt	10	1389958..1391307 nt	1391664 nt (minimum), 3298700 nt (maximum)
ORI95010926	NC_016024.1	Candidatus Chloracidobacterium thermophilum B chromosome chromosome 1	Bacteria, Acidobacteria, Candidatus Chloracidobacterium.	2683362 nt	1396..1668 nt	9	1..1395 nt	1866 nt (minimum), 1463557 nt (maximum)
ORI95010927	NC_016047.1	Bacillus subtilis subsp. spizizenii TU-B-10 chromosome	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus.	4207222 nt	1750..1938 nt	3	409..1749 nt	199 nt (minimum), 2048011 nt (maximum)
ORI95010928	NC_016047.1	Bacillus subtilis subsp. spizizenii TU-B-10 chromosome	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus.	4207222 nt	4206804..408 nt	8	409..1749 nt	199 nt (minimum), 2048011 nt (maximum)
ORI95010929	NC_016048.1	Oscillibacter valericigenes Sjm18-20	Bacteria, Firmicutes, Clostridia, Clostridiales, Oscillospiraceae, Oscillibacter.	4410036 nt	1315..1596 nt	3	1..1314 nt	4409901 nt (minimum), 2074411 nt (maximum)
ORI95010930	NC_016052.1	Tetragenococcus halophilus NBRC 12172	Bacteria, Firmicutes, Lactobacillales, Enterococcaceae, Tetragenococcus.	2562720 nt	1336..1493 nt	4	1..1335 nt	143 nt (minimum), 1415895 nt (maximum)
ORI95010931	NC_016052.1	Tetragenococcus halophilus NBRC 12172	Bacteria, Firmicutes, Lactobacillales, Enterococcaceae, Tetragenococcus.	2562720 nt	2562189..2562720 nt	9	1..1335 nt	143 nt (minimum), 1415895 nt (maximum)
ORI95010932	NC_016077.1	Acidaminococcus intestini RyC-MR95 chromosome	Bacteria, Firmicutes, Negativicutes, Selenomonadales, Acidaminococcaceae, Acidaminococcus.	2487765 nt	1552..1625 nt	5	175..1551 nt	2487726 nt (minimum), 1192665 nt (maximum)
ORI95010933	NC_016077.1	Acidaminococcus intestini RyC-MR95 chromosome	Bacteria, Firmicutes, Negativicutes, Selenomonadales, Acidaminococcaceae, Acidaminococcus.	2487765 nt	2487467..174 nt	6	175..1551 nt	2487726 nt (minimum), 1192665 nt (maximum)
ORI95010934	NC_016109.1	Kitasatospora setae KM-6054	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Streptomycineae, Streptomycetaceae, Kitasatospora.	8783278 nt	4370854..4372118 nt	17	4368964..4370853, 4588101..4589561 nt	8783148 nt (minimum), 3607670 nt (maximum)
ORI95010935	NC_016111.1	Streptomyces cattleya NRRL 8057	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Streptomycineae, Streptomycetaceae, Streptomyces.	6283062 nt	3282602..3283517 nt	7	3283518..3285329 nt	5046 nt (minimum), 4045379 nt (maximum)
ORI95010936	NC_016148.1	Thermovirga lienii DSM 17291 chromosome	Bacteria, Synergistetes, Synergistia, Synergistales, Synergistaceae, Thermovirga.	1967774 nt	1401..1626 nt	4	78..1400 nt	1 nt (minimum), 1060469 nt (maximum)
ORI95010937	NC_016148.1	Thermovirga lienii DSM 17291 chromosome	Bacteria, Synergistetes, Synergistia, Synergistales, Synergistaceae, Thermovirga.	1967774 nt	1967528..77 nt	6	78..1400 nt	1 nt (minimum), 1060469 nt (maximum)
